service,file_name,relative_path,rows_in_window,columns_in_file
yellow,yellow_tripdata_2021-01.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2021\01\yellow_tripdata_2021-01.parquet,1369749,19
yellow,yellow_tripdata_2021-02.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2021\02\yellow_tripdata_2021-02.parquet,1371688,19
yellow,yellow_tripdata_2021-03.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2021\03\yellow_tripdata_2021-03.parquet,1925141,19
yellow,yellow_tripdata_2021-04.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2021\04\yellow_tripdata_2021-04.parquet,2171182,19
yellow,yellow_tripdata_2021-05.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2021\05\yellow_tripdata_2021-05.parquet,2507102,19
yellow,yellow_tripdata_2021-06.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2021\06\yellow_tripdata_2021-06.parquet,2834232,19
yellow,yellow_tripdata_2021-07.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2021\07\yellow_tripdata_2021-07.parquet,2821685,19
yellow,yellow_tripdata_2021-08.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2021\08\yellow_tripdata_2021-08.parquet,2788708,19
yellow,yellow_tripdata_2021-09.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2021\09\yellow_tripdata_2021-09.parquet,2963763,19
yellow,yellow_tripdata_2021-10.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2021\10\yellow_tripdata_2021-10.parquet,3463472,19
yellow,yellow_tripdata_2021-11.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2021\11\yellow_tripdata_2021-11.parquet,3472918,19
yellow,yellow_tripdata_2021-12.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2021\12\yellow_tripdata_2021-12.parquet,3214343,19
yellow,yellow_tripdata_2022-01.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2022\01\yellow_tripdata_2022-01.parquet,2463917,19
yellow,yellow_tripdata_2022-02.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2022\02\yellow_tripdata_2022-02.parquet,2979422,19
yellow,yellow_tripdata_2022-03.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2022\03\yellow_tripdata_2022-03.parquet,3627872,19
yellow,yellow_tripdata_2022-04.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2022\04\yellow_tripdata_2022-04.parquet,3599913,19
yellow,yellow_tripdata_2022-05.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2022\05\yellow_tripdata_2022-05.parquet,3588280,19
yellow,yellow_tripdata_2022-06.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2022\06\yellow_tripdata_2022-06.parquet,3557678,19
